ANGLIJSKIJ_MASTIF,BREED.DOG,"Английский мастиф",350
ANGLIJSKIJ_SETTER,BREED.DOG,"Английский сеттер",360
ANGLIJSKIJ_SPRINGER_SPANIEL,BREED.DOG,"Английский спрингер-спаниель",370
ANGLIJSKIJ_TOJ_TERER,BREED.DOG,"Английский той-терьер",380
ANGLIJSKIJ_FOKSHAUND,BREED.DOG,"Английский фоксхаунд",390
ANGLO_FRANCUZSKAJA_MALAJA_GONCHAJA,BREED.DOG,"Англо-французская малая гончая",400
APPENCELLER_ZENNENHUND,BREED.DOG,"Аппенцеллер зенненхунд",410
ARGENTINSKIJ_DOG,BREED.DOG,"Аргентинский дог",420
ARDENNSKIJ_BUVE,BREED.DOG,"Арденнский бувье",430
ARTUAZSKAJA_GONCHAJA,BREED.DOG,"Артуазская гончая",440
AFGANSKAJA_BORZAJA,BREED.DOG,"Афганская борзая",450
AFFENPINCHER,BREED.DOG,Аффенпинчер,460
BAVARSKAJA_GORNAJA_GONCHAJA,BREED.DOG,"Баварская горная гончая",470
BAKHMUL,BREED.DOG,Бакхмуль,480
BARBET,BREED.DOG,Барбет,490
BASENDZHI,BREED.DOG,Басенджи,500
BASKSKAJA_OVCHARKA,BREED.DOG,"Баскская овчарка",510
BASSET_HAUND,BREED.DOG,Бассет-хаунд,520
BEDLINGTON_TERER,BREED.DOG,Бедлингтон-терьер,530
BELAJA_SHVEJCARSKAJA_OVCHARKA,BREED.DOG,"Белая швейцарская овчарка",540
BELGIJSKAJA_OVCHARKA,BREED.DOG,"Бельгийская овчарка",550
BERGAMSKAJA_OVCHARKA,BREED.DOG,"Бергамская овчарка",560
BERNSKIJ_ZENNENHUND,BREED.DOG,"Бернский зенненхунд",570
BIVER_JORKSHIRSKIJ_TERER,BREED.DOG,"Бивер-йоркширский терьер",580
BIGL,BREED.DOG,Бигль,590
BISHON_FRIZE,BREED.DOG,"Бишон фризе",600
BLADHAUND,BREED.DOG,Бладхаунд,610
BLJU_LEJSI,BREED.DOG,Блю-лейси,620
BOBTEJL,BREED.DOG,Бобтейл,630
BOLGARSKIJ_BARAK,BREED.DOG,"Болгарский барак",640
BOLONEZ,BREED.DOG,Болоньез,650
BOLSHOJ_VANDEJSKIJ_GRIFFON,BREED.DOG,"Большой вандейский гриффон",660
BOLSHOJ_PUDEL,BREED.DOG,"Большой пудель",665
BOLSHOJ_SHVEJCARSKIJ_ZENNENHUND,BREED.DOG,"Большой швейцарский зенненхунд",670
BORDER_KOLLI,BREED.DOG,Бордер-колли,680
BORDER_TERER,BREED.DOG,Бордер-терьер,690
BORDOSKIJ_DOG,BREED.DOG,"Бордоский дог",700
BORODATYJ_KOLLI,BREED.DOG,"Бородатый колли",710
BOSERON,BREED.DOG,Босерон,720
BOSTON_TERER,BREED.DOG,Бостон-терьер,730
BRAZILSKIJ_TERER,BREED.DOG,"Бразильский терьер",740
BRAZILSKIJ_FILA,BREED.DOG,"Бразильский фила",750
BRIAR,BREED.DOG,Бриар,760
BROGOLMER,BREED.DOG,Брогольмер,770
BRJUSSELSKIJ_(BELGIJSKIJ)_GRIFFON,BREED.DOG,"Брюссельский (бельгийский) гриффон",780
BUKOVINSKAJA_OVCHARKA,BREED.DOG,"Буковинская овчарка",790
BULDOG_KAMPEJRO,BREED.DOG,"Бульдог кампейро",800
BULDOG_KATAHULY,BREED.DOG,"Бульдог Катахулы",810
BULMASTIF,BREED.DOG,Бульмастиф,820
BULTERER,BREED.DOG,Бультерьер,830
BURBUL,BREED.DOG,Бурбуль,840
BURJAT_MONGOLSKIJ_VOLKODAV,BREED.DOG,"Бурят-монгольский волкодав",850
VANDEJSKIJ_BASSET_GRIFFON,BREED.DOG,"Вандейский бассет-гриффон",860
VEJMARANER,BREED.DOG,Веймаранер,870
VELSH_KORGI,BREED.DOG,Вельш-корги,880
VELSH_SPRINGER_SPANIEL,BREED.DOG,Вельш-спрингер-спаниель,890
VELSHTERER,BREED.DOG,Вельштерьер,900
VENGERSKAJA_VYZHLA,BREED.DOG,"Венгерская выжла",910
VEST_HAJLEND_UAJT_TERER,BREED.DOG,Вест-хайленд-уайт-терьер,920
VETTERHUN,BREED.DOG,Веттерхун,930
VOLCHJA_SOBAKA_SARLOSA,BREED.DOG,"Волчья собака Сарлоса",940
VOLPINO_ITALJANO,BREED.DOG,"Вольпино итальяно",950
VOSTOCHNOEVROPEJSKAJA_OVCHARKA,BREED.DOG,"Восточноевропейская овчарка",960
VOSTOCHNOSIBIRSKAJA_LAJKA,BREED.DOG,"Восточносибирская лайка",970
GAVANSKIJ_BISHON,BREED.DOG,"Гаванский бишон",980
GAMPR,BREED.DOG,Гампр,990
GLADKOSHJORSTNYJ_FOKSTERER,BREED.DOG,"Гладкошёрстный фокстерьер",1000
GLEN_OF_IMAAL_TERER,BREED.DOG,"Глен оф Имаал терьер",1010
GOLLANDSKAJA_OVCHARKA,BREED.DOG,"Голландская овчарка",1020
GOLLANDSKIJ_SMOUSHOND,BREED.DOG,"Голландский смоусхонд",1030
GOLUBOJ_GASKONSKIJ_BASSET,BREED.DOG,"Голубой гасконский бассет",1040
GONCHAJA_GAMILTONA,BREED.DOG,"Гончая Гамильтона",1050
GREJHAUND,BREED.DOG,Грейхаунд,1060
GRENLANDSKAJA_SOBAKA,BREED.DOG,"Гренландская собака",1070
GRECHESKAJA_OVCHARKA,BREED.DOG,"Греческая овчарка",1080
GRJUNENDAL,BREED.DOG,Грюнендаль,1090
DALMATIN,BREED.DOG,Далматин,1100
DATSKO_SHVEDSKAJA_FERMERSKAJA_SOBAKA,BREED.DOG,"Датско-шведская фермерская собака",1110
DENDI_DINMONT_TERER,BREED.DOG,Денди-динмонт-терьер,1120
DZHEK_RASSEL_TERER,BREED.DOG,Джек-рассел-терьер,1130
DIRHAUND,BREED.DOG,Дирхаунд,1140
DLINNOSHJORSTNYJ_KOLLI,BREED.DOG,"Длинношёрстный колли",1150
DOBERMAN,BREED.DOG,Доберман,1160
DRATHAAR,BREED.DOG,Дратхаар,1170
DREVER,BREED.DOG,Древер,1180
EVRAZIER,BREED.DOG,Евразиер,1190
ZHESTKOSHJORSTNYJ_FOKSTERER,BREED.DOG,"Жесткошёрстный фокстерьер",1200
ZAPADNOSIBIRSKAJA_LAJKA,BREED.DOG,"Западносибирская лайка",1210
ZOLOTISTYJ_RETRIVER,BREED.DOG,"Золотистый ретривер",1220
IRLANDSKIJ_VODJANOJ_SPANIEL,BREED.DOG,"Ирландский водяной спаниель",1230
IRLANDSKIJ_VOLKODAV,BREED.DOG,"Ирландский волкодав",1240
IRLANDSKIJ_KRASNYJ_SETTER,BREED.DOG,"Ирландский красный сеттер",1250
IRLANDSKIJ_MJAGKOSHJORSTNYJ_PSHENICHNYJ_TERER,BREED.DOG,"Ирландский мягкошёрстный пшеничный терьер",1260
IRLANDSKIJ_TERER,BREED.DOG,"Ирландский терьер",1270
ISLANDSKAJA_SOBAKA,BREED.DOG,"Исландская собака",1280
ISPANSKAJA_VODJANAJA_SOBAKA,BREED.DOG,"Испанская водяная собака",1290
ISPANSKIJ_GALGO,BREED.DOG,"Испанский гальго",1300
ISPANSKIJ_MASTIF,BREED.DOG,"Испанский мастиф",1310
ITALJANSKIJ_BRAKK,BREED.DOG,"Итальянский бракк",1320
ITALJANSKIJ_SPINONE,BREED.DOG,"Итальянский спиноне",1330
JORKSHIRSKIJ_TERER,BREED.DOG,"Йоркширский терьер",1340
KA_DE_BO,BREED.DOG,"Ка де Бо",1350
KAVALER_KING_CHARLZ_SPANIEL,BREED.DOG,"Кавалер кинг чарльз спаниель",1360
KAVKAZSKAJA_OVCHARKA,BREED.DOG,"Кавказская овчарка",1370
KAI,BREED.DOG,Каи,1380
KAJ_KEN,BREED.DOG,Кай-кен,1390
KANARSKIJ_DOG,BREED.DOG,"Канарский дог",1400
KANE_KORSO,BREED.DOG,Кане-корсо,1410
KAO_DE_KASTRO_LABOREJRO,BREED.DOG,"Као де кастро-лаборейро",1420
KARAKACHANSKAJA_SOBAKA,BREED.DOG,"Каракачанская собака",1430
KARELO_FINSKAJA_LAJKA,BREED.DOG,"Карело-финская лайка",1440
KARELSKAJA_LAJKA,BREED.DOG,"Карельская лайка",1450
KARELSKAJA_MEDVEZHJA_SOBAKA,BREED.DOG,"Карельская медвежья собака",1460
KARLIKOVYJ_PINCHER,BREED.DOG,"Карликовый пинчер",1470
KARLIKOVYJ_PUDEL,BREED.DOG,"Карликовый пудель",1473
KARLIKOVAJA_TAKSA,BREED.DOG,"Карликовая такса",1477
KATALONSKAJA_OVCHARKA,BREED.DOG,"Каталонская овчарка",1480
KERN_TERER,BREED.DOG,Керн-терьер,1490
